dataset,model,seed,adc_bits,accuracy
fashion_mnist,fixed_amplitude,4096,6,0.85254
fashion_mnist,fixed_amplitude,4096,8,0.86121
fashion_mnist,fixed_amplitude,4096,10,0.862813
fashion_mnist,fixed_amplitude,4096,12,0.862089
fashion_mnist,fixed_amplitude,4096,16,0.863837
fashion_mnist,fixed_amplitude,8192,4,0.845824
fashion_mnist,fixed_amplitude,8192,6,0.853902
fashion_mnist,fixed_amplitude,8192,8,0.86167
fashion_mnist,fixed_amplitude,8192,10,0.861295
fashion_mnist,fixed_amplitude,8192,12,0.864288
fashion_mnist,fixed_amplitude,8192,16,0.862409
fashion_mnist,random_unitary,42,4,0.8028
fashion_mnist,random_unitary,42,6,0.813027
fashion_mnist,random_unitary,42,8,0.81699
fashion_mnist,random_unitary,42,10,0.819543
fashion_mnist,random_unitary,42,12,0.820425
fashion_mnist,random_unitary,42,16,0.821122
fashion_mnist,random_unitary,123,4,0.80346
fashion_mnist,random_unitary,123,6,0.810635
fashion_mnist,random_unitary,123,8,0.819587
fashion_mnist,random_unitary,123,10,0.820204
fashion_mnist,random_unitary,123,12,0.820004
fashion_mnist,random_unitary,123,16,0.821055
fashion_mnist,random_unitary,256,4,0.800395
fashion_mnist,random_unitary,256,6,0.811263
fashion_mnist,random_unitary,256,8,0.818572
fashion_mnist,random_unitary,256,10,0.819574
fashion_mnist,random_unitary,256,12,0.820689
fashion_mnist,random_unitary,256,16,0.820746
fashion_mnist,random_unitary,512,4,0.801803
fashion_mnist,random_unitary,512,6,0.811382
fashion_mnist,random_unitary,512,8,0.817257
fashion_mnist,random_unitary,512,10,0.819663
fashion_mnist,random_unitary,512,12,0.820136
fashion_mnist,random_unitary,512,16,0.82006
fashion_mnist,random_unitary,1024,4,0.800526
fashion_mnist,random_unitary,1024,6,0.81103
fashion_mnist,random_unitary,1024,8,0.817346
fashion_mnist,random_unitary,1024,10,0.819626
fashion_mnist,random_unitary,1024,12,0.821126
fashion_mnist,random_unitary,1024,16,0.820727
fashion_mnist,random_unitary,2024,4,0.800973
fashion_mnist,random_unitary,2024,6,0.809514
fashion_mnist,random_unitary,2024,8,0.817873
fashion_mnist,random_unitary,2024,10,0.819056
fashion_mnist,random_unitary,2024,12,0.821555
fashion_mnist,random_unitary,2024,16,0.821927
fashion_mnist,random_unitary,4096,4,0.804014
fashion_mnist,random_unitary,4096,6,0.810186
fashion_mnist,random_unitary,4096,8,0.819595
fashion_mnist,random_unitary,4096,10,0.820317
fashion_mnist,random_unitary,4096,12,0.819583
fashion_mnist,random_unitary,4096,16,0.822944
fashion_mnist,random_unitary,8192,4,0.801816
fashion_mnist,random_unitary,8192,6,0.810254
fashion_mnist,random_unitary,8192,8,0.818255
fashion_mnist,random_unitary,8192,10,0.8191
fashion_mnist,random_unitary,8192,12,0.822112
fashion_mnist,random_unitary,8192,16,0.822092
fashion_mnist,mlp,42,4,0.879447
fashion_mnist,mlp,42,6,0.889716
fashion_mnist,mlp,42,8,0.896751
fashion_mnist,mlp,42,10,0.895944
fashion_mnist,mlp,42,12,0.897441
fashion_mnist,mlp,42,16,0.8992
fashion_mnist,mlp,123,4,0.878971
fashion_mnist,mlp,123,6,0.887856
fashion_mnist,mlp,123,8,0.896172
fashion_mnist,mlp,123,10,0.897158
fashion_mnist,mlp,123,12,0.899035
fashion_mnist,mlp,123,16,0.899157
fashion_mnist,mlp,256,4,0.882154
fashion_mnist,mlp,256,6,0.888503
fashion_mnist,mlp,256,8,0.895018
fashion_mnist,mlp,256,10,0.898739
fashion_mnist,mlp,256,12,0.899483
fashion_mnist,mlp,256,16,0.898511
fashion_mnist,mlp,512,4,0.87968
fashion_mnist,mlp,512,6,0.889331
fashion_mnist,mlp,512,8,0.89477
fashion_mnist,mlp,512,10,0.897208
fashion_mnist,mlp,512,12,0.898785
fashion_mnist,mlp,512,16,0.897563
fashion_mnist,mlp,1024,4,0.879301
fashion_mnist,mlp,1024,6,0.885934
fashion_mnist,mlp,1024,8,0.896483
fashion_mnist,mlp,1024,10,0.89721
fashion_mnist,mlp,1024,12,0.89683
fashion_mnist,mlp,1024,16,0.898925
fashion_mnist,mlp,2024,4,0.88044
fashion_mnist,mlp,2024,6,0.888275
fashion_mnist,mlp,2024,8,0.897514
fashion_mnist,mlp,2024,10,0.896781
fashion_mnist,mlp,2024,12,0.898261
fashion_mnist,mlp,2024,16,0.899767
fashion_mnist,mlp,4096,4,0.880513
fashion_mnist,mlp,4096,6,0.889001
fashion_mnist,mlp,4096,8,0.894973
fashion_mnist,mlp,4096,10,0.899517
fashion_mnist,mlp,4096,12,0.896493
fashion_mnist,mlp,4096,16,0.897286
fashion_mnist,mlp,8192,4,0.878504
fashion_mnist,mlp,8192,6,0.888576
fashion_mnist,mlp,8192,8,0.896333
fashion_mnist,mlp,8192,10,0.897397
fashion_mnist,mlp,8192,12,0.899766
fashion_mnist,mlp,8192,16,0.898519
fashion_mnist,cnn,42,4,0.897827
fashion_mnist,cnn,42,6,0.907906
fashion_mnist,cnn,42,8,0.913452
fashion_mnist,cnn,42,10,0.913375
fashion_mnist,cnn,42,12,0.916243
fashion_mnist,cnn,42,16,0.916073
fashion_mnist,cnn,123,4,0.897228
fashion_mnist,cnn,123,6,0.908739
fashion_mnist,cnn,123,8,0.915381
fashion_mnist,cnn,123,10,0.916361
fashion_mnist,cnn,123,12,0.915195
fashion_mnist,cnn,123,16,0.917321
fashion_mnist,cnn,256,4,0.89813
fashion_mnist,cnn,256,6,0.907823
fashion_mnist,cnn,256,8,0.912208
fashion_mnist,cnn,256,10,0.915456
fashion_mnist,cnn,256,12,0.917459
fashion_mnist,cnn,256,16,0.917018
fashion_mnist,cnn,512,4,0.896868
fashion_mnist,cnn,512,6,0.907292
fashion_mnist,cnn,512,8,0.914859
fashion_mnist,cnn,512,10,0.915179
fashion_mnist,cnn,512,12,0.915617
fashion_mnist,cnn,512,16,0.916791
fashion_mnist,cnn,1024,4,0.898361
fashion_mnist,cnn,1024,6,0.905814
fashion_mnist,cnn,1024,8,0.915088
fashion_mnist,cnn,1024,10,0.914614
fashion_mnist,cnn,1024,12,0.916451
fashion_mnist,cnn,1024,16,0.915505
fashion_mnist,cnn,2024,4,0.897736
fashion_mnist,cnn,2024,6,0.907682
fashion_mnist,cnn,2024,8,0.914588
fashion_mnist,cnn,2024,10,0.917403
fashion_mnist,cnn,2024,12,0.91667
fashion_mnist,cnn,2024,16,0.916792
fashion_mnist,cnn,4096,4,0.898528
fashion_mnist,cnn,4096,6,0.907549
fashion_mnist,cnn,4096,8,0.914247
fashion_mnist,cnn,4096,10,0.915879
fashion_mnist,cnn,4096,12,0.916459
fashion_mnist,cnn,4096,16,0.91769
fashion_mnist,cnn,8192,4,0.897302
fashion_mnist,cnn,8192,6,0.905699
fashion_mnist,cnn,8192,8,0.913611
fashion_mnist,cnn,8192,10,0.916647
fashion_mnist,cnn,8192,12,0.91553
fashion_mnist,cnn,8192,16,0.916028
cifar10,proposed,42,4,0.723006
cifar10,proposed,42,6,0.73206
cifar10,proposed,42,8,0.73932
cifar10,proposed,42,10,0.739661
cifar10,proposed,42,12,0.738094
cifar10,proposed,42,16,0.739391
cifar10,proposed,123,4,0.724909
cifar10,proposed,123,6,0.732868
cifar10,proposed,123,8,0.738351
cifar10,proposed,123,10,0.740171
cifar10,proposed,123,12,0.739663
cifar10,proposed,123,16,0.741162
cifar10,proposed,256,4,0.724832
cifar10,proposed,256,6,0.732775
cifar10,proposed,256,8,0.737962
cifar10,proposed,256,10,0.737865
cifar10,proposed,256,12,0.740368
cifar10,proposed,256,16,0.740609
cifar10,proposed,512,4,0.72434
cifar10,proposed,512,6,0.729739
cifar10,proposed,512,8,0.73843
cifar10,proposed,512,10,0.739476
cifar10,proposed,512,12,0.739348
cifar10,proposed,512,16,0.739949
cifar10,proposed,1024,4,0.725631
cifar10,proposed,1024,6,0.731202
cifar10,proposed,1024,8,0.738966
cifar10,proposed,1024,10,0.740047
cifar10,proposed,1024,12,0.739729
cifar10,proposed,1024,16,0.741652
cifar10,proposed,2024,4,0.726378
cifar10,proposed,2024,6,0.731202
cifar10,proposed,2024,8,0.738143
cifar10,proposed,2024,10,0.73871
cifar10,proposed,2024,12,0.738953
cifar10,proposed,2024,16,0.742519
cifar10,proposed,4096,4,0.724397
cifar10,proposed,4096,6,0.733334
cifar10,proposed,4096,8,0.737914
cifar10,proposed,4096,10,0.739047
cifar10,proposed,4096,12,0.739602
cifar10,proposed,4096,16,0.740456
cifar10,proposed,8192,4,0.724039
cifar10,proposed,8192,6,0.732658
cifar10,proposed,8192,8,0.737134
cifar10,proposed,8192,10,0.738304
cifar10,proposed,8192,12,0.739885
cifar10,proposed,8192,16,0.739466
cifar10,fixed_phase,42,4,0.68504
cifar10,fixed_phase,42,6,0.695024
cifar10,fixed_phase,42,8,0.701793
cifar10,fixed_phase,42,10,0.705102
cifar10,fixed_phase,42,12,0.703373
cifar10,fixed_phase,42,16,0.705228
cifar10,fixed_phase,123,4,0.687369
cifar10,fixed_phase,123,6,0.695772
cifar10,fixed_phase,123,8,0.705381
cifar10,fixed_phase,123,10,0.70415
cifar10,fixed_phase,123,12,0.703911
cifar10,fixed_phase,123,16,0.705646
cifar10,fixed_phase,256,4,0.686093
cifar10,fixed_phase,256,6,0.694779
cifar10,fixed_phase,256,8,0.701899
cifar10,fixed_phase,256,10,0.702179
cifar10,fixed_phase,256,12,0.703083
cifar10,fixed_phase,256,16,0.703103
cifar10,fixed_phase,512,4,0.687293
cifar10,fixed_phase,512,6,0.69455
cifar10,fixed_phase,512,8,0.702112
cifar10,fixed_phase,512,10,0.702865
cifar10,fixed_phase,512,12,0.704647
cifar10,fixed_phase,512,16,0.706335
cifar10,fixed_phase,1024,4,0.684951
cifar10,fixed_phase,1024,6,0.694767
cifar10,fixed_phase,1024,8,0.7
cifar10,fixed_phase,1024,10,0.703179
cifar10,fixed_phase,1024,12,0.704949
cifar10,fixed_phase,1024,16,0.704264
cifar10,fixed_phase,2024,4,0.68635
cifar10,fixed_phase,2024,6,0.693326
cifar10,fixed_phase,2024,8,0.701471
cifar10,fixed_phase,2024,10,0.702687
cifar10,fixed_phase,2024,12,0.70512
cifar10,fixed_phase,2024,16,0.706015
cifar10,fixed_phase,4096,4,0.685672
cifar10,fixed_phase,4096,6,0.693935
cifar10,fixed_phase,4096,8,0.701532
cifar10,fixed_phase,4096,10,0.700997
cifar10,fixed_phase,4096,12,0.704351
cifar10,fixed_phase,4096,16,0.706303
cifar10,fixed_phase,8192,4,0.685485
cifar10,fixed_phase,8192,6,0.69399
cifar10,fixed_phase,8192,8,0.702198
cifar10,fixed_phase,8192,10,0.702588
cifar10,fixed_phase,8192,12,0.702952
cifar10,fixed_phase,8192,16,0.703161
cifar10,fixed_amplitude,42,4,0.683452
cifar10,fixed_amplitude,42,6,0.690552
cifar10,fixed_amplitude,42,8,0.697846
cifar10,fixed_amplitude,42,10,0.698347
cifar10,fixed_amplitude,42,12,0.700817
cifar10,fixed_amplitude,42,16,0.701613
cifar10,fixed_amplitude,123,4,0.682845
cifar10,fixed_amplitude,123,6,0.691123
cifar10,fixed_amplitude,123,8,0.698051
cifar10,fixed_amplitude,123,10,0.698596
cifar10,fixed_amplitude,123,12,0.69818
cifar10,fixed_amplitude,123,16,0.700948
cifar10,fixed_amplitude,256,4,0.682619
cifar10,fixed_amplitude,256,6,0.690495
cifar10,fixed_amplitude,256,8,0.698458
cifar10,fixed_amplitude,256,10,0.698385
cifar10,fixed_amplitude,256,12,0.699268
cifar10,fixed_amplitude,256,16,0.700294
cifar10,fixed_amplitude,512,4,0.681423
cifar10,fixed_amplitude,512,6,0.691655
cifar10,fixed_amplitude,512,8,0.699121
cifar10,fixed_amplitude,512,10,0.698503
cifar10,fixed_amplitude,512,12,0.700236
cifar10,fixed_amplitude,512,16,0.702327
cifar10,fixed_amplitude,1024,4,0.682932
cifar10,fixed_amplitude,1024,6,0.6921
cifar10,fixed_amplitude,1024,8,0.698686
cifar10,fixed_amplitude,1024,10,0.700064
cifar10,fixed_amplitude,1024,12,0.699451
cifar10,fixed_amplitude,1024,16,0.700288
cifar10,fixed_amplitude,2024,4,0.681299
cifar10,fixed_amplitude,2024,6,0.689542
cifar10,fixed_amplitude,2024,8,0.697117
cifar10,fixed_amplitude,2024,10,0.699868
cifar10,fixed_amplitude,2024,12,0.700312
cifar10,fixed_amplitude,2024,16,0.700955
cifar10,fixed_amplitude,4096,4,0.68153
cifar10,fixed_amplitude,4096,6,0.691347
cifar10,fixed_amplitude,4096,8,0.696673
cifar10,fixed_amplitude,4096,10,0.698936
cifar10,fixed_amplitude,4096,12,0.698496
cifar10,fixed_amplitude,4096,16,0.699959
cifar10,fixed_amplitude,8192,4,0.68259
cifar10,fixed_amplitude,8192,6,0.692775
cifar10,fixed_amplitude,8192,8,0.698358
cifar10,fixed_amplitude,8192,10,0.696682
cifar10,fixed_amplitude,8192,12,0.698686
cifar10,fixed_amplitude,8192,16,0.700502
cifar10,random_unitary,42,4,0.647249
cifar10,random_unitary,42,6,0.653936
cifar10,random_unitary,42,8,0.662518
cifar10,random_unitary,42,10,0.665093
cifar10,random_unitary,42,12,0.666209
cifar10,random_unitary,42,16,0.668658
cifar10,random_unitary,123,4,0.646014
cifar10,random_unitary,123,6,0.656605
cifar10,random_unitary,123,8,0.663199
cifar10,random_unitary,123,10,0.664048
cifar10,random_unitary,123,12,0.665337
cifar10,random_unitary,123,16,0.667121
cifar10,random_unitary,256,4,0.647723
cifar10,random_unitary,256,6,0.655441
cifar10,random_unitary,256,8,0.662998
cifar10,random_unitary,256,10,0.663657
cifar10,random_unitary,256,12,0.665234
cifar10,random_unitary,256,16,0.665629
cifar10,random_unitary,512,4,0.647442
cifar10,random_unitary,512,6,0.656757
cifar10,random_unitary,512,8,0.663211
cifar10,random_unitary,512,10,0.66688
cifar10,random_unitary,512,12,0.664962
cifar10,random_unitary,512,16,0.664182
cifar10,random_unitary,1024,4,0.648709
cifar10,random_unitary,1024,6,0.655879
cifar10,random_unitary,1024,8,0.662359
cifar10,random_unitary,1024,10,0.666338
cifar10,random_unitary,1024,12,0.665557
cifar10,random_unitary,1024,16,0.665048
cifar10,random_unitary,2024,4,0.64806
cifar10,random_unitary,2024,6,0.65593
cifar10,random_unitary,2024,8,0.663975
cifar10,random_unitary,2024,10,0.665969
cifar10,random_unitary,2024,12,0.664751
cifar10,random_unitary,2024,16,0.665819
cifar10,random_unitary,4096,4,0.648289
cifar10,random_unitary,4096,6,0.656504
cifar10,random_unitary,4096,8,0.661213
cifar10,random_unitary,4096,10,0.664071
cifar10,random_unitary,4096,12,0.665907
cifar10,random_unitary,4096,16,0.666903
cifar10,random_unitary,8192,4,0.648634
cifar10,random_unitary,8192,6,0.655108
cifar10,random_unitary,8192,8,0.662942
cifar10,random_unitary,8192,10,0.665621
cifar10,random_unitary,8192,12,0.664473
cifar10,random_unitary,8192,16,0.665855
cifar10,mlp,42,4,0.711467
cifar10,mlp,42,6,0.720775
cifar10,mlp,42,8,0.727029
cifar10,mlp,42,10,0.726428
cifar10,mlp,42,12,0.728211
cifar10,mlp,42,16,0.730229
cifar10,mlp,123,4,0.709427
cifar10,mlp,123,6,0.719993
cifar10,mlp,123,8,0.72637
cifar10,mlp,123,10,0.727909
cifar10,mlp,123,12,0.727825
cifar10,mlp,123,16,0.730233
cifar10,mlp,256,4,0.709681
cifar10,mlp,256,6,0.71815
cifar10,mlp,256,8,0.726124
cifar10,mlp,256,10,0.728362
cifar10,mlp,256,12,0.728275
cifar10,mlp,256,16,0.728791
cifar10,mlp,512,4,0.709457
cifar10,mlp,512,6,0.718312
cifar10,mlp,512,8,0.725547
cifar10,mlp,512,10,0.728515
cifar10,mlp,512,12,0.729022
cifar10,mlp,512,16,0.728736
cifar10,mlp,1024,4,0.710765
cifar10,mlp,1024,6,0.719992
cifar10,mlp,1024,8,0.72712
cifar10,mlp,1024,10,0.728352
cifar10,mlp,1024,12,0.728601
cifar10,mlp,1024,16,0.728606
cifar10,mlp,2024,4,0.711182
cifar10,mlp,2024,6,0.720166
cifar10,mlp,2024,8,0.728324
cifar10,mlp,2024,10,0.72889
cifar10,mlp,2024,12,0.729067
cifar10,mlp,2024,16,0.731085
cifar10,mlp,4096,4,0.710097
cifar10,mlp,4096,6,0.719609
cifar10,mlp,4096,8,0.724706
cifar10,mlp,4096,10,0.728015
cifar10,mlp,4096,12,0.726111
cifar10,mlp,4096,16,0.729451
cifar10,mlp,8192,4,0.710969
cifar10,mlp,8192,6,0.718979
cifar10,mlp,8192,8,0.724714
cifar10,mlp,8192,10,0.728856
cifar10,mlp,8192,12,0.727237
cifar10,mlp,8192,16,0.730748
cifar10,cnn,42,4,0.723873
cifar10,cnn,42,6,0.734686
cifar10,cnn,42,8,0.740286
cifar10,cnn,42,10,0.74173
cifar10,cnn,42,12,0.743619
cifar10,cnn,42,16,0.743388
cifar10,cnn,123,4,0.724414
cifar10,cnn,123,6,0.732624
cifar10,cnn,123,8,0.74259
cifar10,cnn,123,10,0.74366
cifar10,cnn,123,12,0.741107
cifar10,cnn,123,16,0.744052
cifar10,cnn,256,4,0.724665
cifar10,cnn,256,6,0.732943
cifar10,cnn,256,8,0.740869
cifar10,cnn,256,10,0.74149
cifar10,cnn,256,12,0.743272
cifar10,cnn,256,16,0.743896
cifar10,cnn,512,4,0.725487
cifar10,cnn,512,6,0.733159
cifar10,cnn,512,8,0.740261
cifar10,cnn,512,10,0.741976
cifar10,cnn,512,12,0.742748
cifar10,cnn,512,16,0.74297
cifar10,cnn,1024,4,0.725588
cifar10,cnn,1024,6,0.73242
cifar10,cnn,1024,8,0.742111
cifar10,cnn,1024,10,0.74285
cifar10,cnn,1024,12,0.74214
cifar10,cnn,1024,16,0.743893
cifar10,cnn,2024,4,0.724497
cifar10,cnn,2024,6,0.733617
cifar10,cnn,2024,8,0.741235
cifar10,cnn,2024,10,0.74184
cifar10,cnn,2024,12,0.744538
cifar10,cnn,2024,16,0.744673
cifar10,cnn,4096,4,0.727113
cifar10,cnn,4096,6,0.732826
cifar10,cnn,4096,8,0.741288
cifar10,cnn,4096,10,0.744274
cifar10,cnn,4096,12,0.744487
cifar10,cnn,4096,16,0.743944
cifar10,cnn,8192,4,0.72585
cifar10,cnn,8192,6,0.734198
cifar10,cnn,8192,8,0.741217
cifar10,cnn,8192,10,0.743843
cifar10,cnn,8192,12,0.744009
cifar10,cnn,8192,16,0.744806
qam16,proposed,42,4,0.937507
qam16,proposed,42,6,0.94521
qam16,proposed,42,8,0.950743
qam16,proposed,42,10,0.952739
qam16,proposed,42,12,0.951175
qam16,proposed,42,16,0.952822
qam16,proposed,123,4,0.936781
qam16,proposed,123,6,0.94507
qam16,proposed,123,8,0.9513
qam16,proposed,123,10,0.950192
qam16,proposed,123,12,0.951363
qam16,proposed,123,16,0.951641
qam16,proposed,256,4,0.937339
qam16,proposed,256,6,0.944807
qam16,proposed,256,8,0.9507
qam16,proposed,256,10,0.950734
qam16,proposed,256,12,0.952247
qam16,proposed,256,16,0.952197
qam16,proposed,512,4,0.936098
qam16,proposed,512,6,0.943394
qam16,proposed,512,8,0.950142
qam16,proposed,512,10,0.950776
qam16,proposed,512,12,0.952923
qam16,proposed,512,16,0.953089
qam16,proposed,1024,4,0.939611
qam16,proposed,1024,6,0.943414
qam16,proposed,1024,8,0.950077
qam16,proposed,1024,10,0.952372
qam16,proposed,1024,12,0.951785
qam16,proposed,1024,16,0.952493
qam16,proposed,2024,4,0.938273
qam16,proposed,2024,6,0.943673
qam16,proposed,2024,8,0.949817
qam16,proposed,2024,10,0.95063
qam16,proposed,2024,12,0.951089
qam16,proposed,2024,16,0.95433
qam16,proposed,4096,4,0.938952
qam16,proposed,4096,6,0.944928
qam16,proposed,4096,8,0.948507
qam16,proposed,4096,10,0.950412
qam16,proposed,4096,12,0.952036
qam16,proposed,4096,16,0.951468
qam16,proposed,8192,4,0.938614
qam16,proposed,8192,6,0.943505
qam16,proposed,8192,8,0.948505
qam16,proposed,8192,10,0.949388
qam16,proposed,8192,12,0.951755
qam16,proposed,8192,16,0.951068
qam16,fixed_phase,42,4,0.88737
qam16,fixed_phase,42,6,0.897805
qam16,fixed_phase,42,8,0.903264
qam16,fixed_phase,42,10,0.906841
qam16,fixed_phase,42,12,0.904792
qam16,fixed_phase,42,16,0.905888
qam16,fixed_phase,123,4,0.88744
qam16,fixed_phase,123,6,0.896044
qam16,fixed_phase,123,8,0.902387
qam16,fixed_phase,123,10,0.904487
qam16,fixed_phase,123,12,0.906145
qam16,fixed_phase,123,16,0.907568
qam16,fixed_phase,256,4,0.88681
qam16,fixed_phase,256,6,0.898297
qam16,fixed_phase,256,8,0.905033
qam16,fixed_phase,256,10,0.90425
qam16,fixed_phase,256,12,0.90512
qam16,fixed_phase,256,16,0.906857
qam16,fixed_phase,512,4,0.887841
qam16,fixed_phase,512,6,0.895438
qam16,fixed_phase,512,8,0.904033
qam16,fixed_phase,512,10,0.905361
qam16,fixed_phase,512,12,0.90595
qam16,fixed_phase,512,16,0.905983
qam16,fixed_phase,1024,4,0.888207
qam16,fixed_phase,1024,6,0.896636
qam16,fixed_phase,1024,8,0.904538
qam16,fixed_phase,1024,10,0.906527
qam16,fixed_phase,1024,12,0.905502
qam16,fixed_phase,1024,16,0.906725
qam16,fixed_phase,2024,4,0.88807
qam16,fixed_phase,2024,6,0.89839
qam16,fixed_phase,2024,8,0.903902
qam16,fixed_phase,2024,10,0.90384
qam16,fixed_phase,2024,12,0.90365
qam16,fixed_phase,2024,16,0.904544
qam16,fixed_phase,4096,4,0.887875
qam16,fixed_phase,4096,6,0.896588
qam16,fixed_phase,4096,8,0.902718
qam16,fixed_phase,4096,10,0.904831
qam16,fixed_phase,4096,12,0.90635
qam16,fixed_phase,4096,16,0.90682
qam16,fixed_phase,8192,4,0.888201
qam16,fixed_phase,8192,6,0.895925
qam16,fixed_phase,8192,8,0.904009
qam16,fixed_phase,8192,10,0.902629
qam16,fixed_phase,8192,12,0.905403
qam16,fixed_phase,8192,16,0.905019
qam16,fixed_amplitude,42,4,0.883465
qam16,fixed_amplitude,42,6,0.890482
qam16,fixed_amplitude,42,8,0.900244
qam16,fixed_amplitude,42,10,0.900466
qam16,fixed_amplitude,42,12,0.901904
qam16,fixed_amplitude,42,16,0.90181
qam16,fixed_amplitude,123,4,0.883372
qam16,fixed_amplitude,123,6,0.890024
qam16,fixed_amplitude,123,8,0.898743
qam16,fixed_amplitude,123,10,0.900444
qam16,fixed_amplitude,123,12,0.902001
qam16,fixed_amplitude,123,16,0.902342
qam16,fixed_amplitude,256,4,0.883198
qam16,fixed_amplitude,256,6,0.892193
qam16,fixed_amplitude,256,8,0.900318
qam16,fixed_amplitude,256,10,0.899715
qam16,fixed_amplitude,256,12,0.901367
qam16,fixed_amplitude,256,16,0.901648
qam16,fixed_amplitude,512,4,0.882906
qam16,fixed_amplitude,512,6,0.890115
qam16,fixed_amplitude,512,8,0.900069
qam16,fixed_amplitude,512,10,0.899426
qam16,fixed_amplitude,512,12,0.900584
qam16,fixed_amplitude,512,16,0.901277
qam16,fixed_amplitude,1024,4,0.883782
qam16,fixed_amplitude,1024,6,0.89258
qam16,fixed_amplitude,1024,8,0.900018
qam16,fixed_amplitude,1024,10,0.901069
qam16,fixed_amplitude,1024,12,0.899641
qam16,fixed_amplitude,1024,16,0.901273
qam16,fixed_amplitude,2024,4,0.881678
qam16,fixed_amplitude,2024,6,0.891523
qam16,fixed_amplitude,2024,8,0.900748
qam16,fixed_amplitude,2024,10,0.900355
qam16,fixed_amplitude,2024,12,0.900064
qam16,fixed_amplitude,2024,16,0.902486
qam16,fixed_amplitude,4096,4,0.882891
qam16,fixed_amplitude,4096,6,0.89143
qam16,fixed_amplitude,4096,8,0.896984
qam16,fixed_amplitude,4096,10,0.900503
qam16,fixed_amplitude,4096,12,0.901197
qam16,fixed_amplitude,4096,16,0.901211
qam16,fixed_amplitude,8192,4,0.881443
qam16,fixed_amplitude,8192,6,0.891514
qam16,fixed_amplitude,8192,8,0.89755
qam16,fixed_amplitude,8192,10,0.902338
qam16,fixed_amplitude,8192,12,0.902781
qam16,fixed_amplitude,8192,16,0.90139
qam16,random_unitary,42,4,0.838943
qam16,random_unitary,42,6,0.844906
qam16,random_unitary,42,8,0.853802
qam16,random_unitary,42,10,0.853909
qam16,random_unitary,42,12,0.855681
qam16,random_unitary,42,16,0.854475
qam16,random_unitary,123,4,0.838403
qam16,random_unitary,123,6,0.847226
qam16,random_unitary,123,8,0.854722
qam16,random_unitary,123,10,0.854139
qam16,random_unitary,123,12,0.857844
qam16,random_unitary,123,16,0.857253
qam16,random_unitary,256,4,0.837151
qam16,random_unitary,256,6,0.845619
qam16,random_unitary,256,8,0.855394
qam16,random_unitary,256,10,0.855625
qam16,random_unitary,256,12,0.855416
qam16,random_unitary,256,16,0.855237
qam16,random_unitary,512,4,0.837045
qam16,random_unitary,512,6,0.848167
qam16,random_unitary,512,8,0.854006
qam16,random_unitary,512,10,0.857169
qam16,random_unitary,512,12,0.85639
qam16,random_unitary,512,16,0.859242
qam16,random_unitary,1024,4,0.839063
qam16,random_unitary,1024,6,0.845762
qam16,random_unitary,1024,8,0.855159
qam16,random_unitary,1024,10,0.855631
qam16,random_unitary,1024,12,0.856039
qam16,random_unitary,1024,16,0.856852
qam16,random_unitary,2024,4,0.837193
qam16,random_unitary,2024,6,0.846195
qam16,random_unitary,2024,8,0.854761
qam16,random_unitary,2024,10,0.85628
qam16,random_unitary,2024,12,0.858027
qam16,random_unitary,2024,16,0.85628
qam16,random_unitary,4096,4,0.839369
qam16,random_unitary,4096,6,0.846931
qam16,random_unitary,4096,8,0.855472
qam16,random_unitary,4096,10,0.856782
qam16,random_unitary,4096,12,0.855167
qam16,random_unitary,4096,16,0.857214
qam16,random_unitary,8192,4,0.839684
qam16,random_unitary,8192,6,0.849387
qam16,random_unitary,8192,8,0.854855
qam16,random_unitary,8192,10,0.856868
qam16,random_unitary,8192,12,0.85549
qam16,random_unitary,8192,16,0.858702
qam16,mlp,42,4,0.918787
qam16,mlp,42,6,0.925832
qam16,mlp,42,8,0.935103
qam16,mlp,42,10,0.937082
qam16,mlp,42,12,0.937192
qam16,mlp,42,16,0.937246
qam16,mlp,123,4,0.918351
qam16,mlp,123,6,0.928904
qam16,mlp,123,8,0.935066
qam16,mlp,123,10,0.936791
qam16,mlp,123,12,0.935997
qam16,mlp,123,16,0.93725
qam16,mlp,256,4,0.920271
qam16,mlp,256,6,0.929187
qam16,mlp,256,8,0.936306
qam16,mlp,256,10,0.935897
qam16,mlp,256,12,0.937576
qam16,mlp,256,16,0.937746
qam16,mlp,512,4,0.919786
qam16,mlp,512,6,0.928727
qam16,mlp,512,8,0.937744
qam16,mlp,512,10,0.936074
qam16,mlp,512,12,0.93751
qam16,mlp,512,16,0.938137
qam16,mlp,1024,4,0.918376
qam16,mlp,1024,6,0.928504
qam16,mlp,1024,8,0.936109
qam16,mlp,1024,10,0.932568
qam16,mlp,1024,12,0.937249
qam16,mlp,1024,16,0.938401
qam16,mlp,2024,4,0.917518
qam16,mlp,2024,6,0.928316
qam16,mlp,2024,8,0.936218
qam16,mlp,2024,10,0.936605
qam16,mlp,2024,12,0.936856
qam16,mlp,2024,16,0.938033
qam16,mlp,4096,4,0.918684
qam16,mlp,4096,6,0.926359
qam16,mlp,4096,8,0.935366
qam16,mlp,4096,10,0.936416
qam16,mlp,4096,12,0.935785
qam16,mlp,4096,16,0.937715
qam16,mlp,8192,4,0.919327
qam16,mlp,8192,6,0.926639
qam16,mlp,8192,8,0.934594
qam16,mlp,8192,10,0.935989
qam16,mlp,8192,12,0.935826
qam16,mlp,8192,16,0.936865
