dataset,model,seed,condition,phase_noise_sigma_rad,insertion_loss_db_per_mode,accuracy,accuracy_drop
qam16,proposed,512,clean,0.0,0.0,0.954992,0.0
qam16,proposed,512,hardware_noise,0.05,1.0,0.921112,0.033879
qam16,proposed,1024,clean,0.0,0.0,0.952131,0.0
qam16,proposed,1024,hardware_noise,0.05,1.0,0.91657,0.035561
qam16,proposed,2024,clean,0.0,0.0,0.951437,0.0
qam16,proposed,2024,hardware_noise,0.05,1.0,0.91761,0.033827
qam16,proposed,4096,clean,0.0,0.0,0.95369,0.0
qam16,proposed,4096,hardware_noise,0.05,1.0,0.920072,0.033617
qam16,proposed,8192,clean,0.0,0.0,0.954489,0.0
qam16,proposed,8192,hardware_noise,0.05,1.0,0.916245,0.038244
qam16,fixed_phase,42,clean,0.0,0.0,0.9078,0.0
qam16,fixed_phase,42,hardware_noise,0.05,1.0,0.868773,0.039027
qam16,fixed_phase,123,clean,0.0,0.0,0.908991,0.0
qam16,fixed_phase,123,hardware_noise,0.05,1.0,0.867874,0.041116
qam16,fixed_phase,256,clean,0.0,0.0,0.908246,0.0
qam16,fixed_phase,256,hardware_noise,0.05,1.0,0.865214,0.043032
qam16,fixed_phase,512,clean,0.0,0.0,0.909966,0.0
qam16,fixed_phase,512,hardware_noise,0.05,1.0,0.868517,0.041449
qam16,fixed_phase,1024,clean,0.0,0.0,0.907479,0.0
qam16,fixed_phase,1024,hardware_noise,0.05,1.0,0.865063,0.042416
qam16,fixed_phase,2024,clean,0.0,0.0,0.907719,0.0
qam16,fixed_phase,2024,hardware_noise,0.05,1.0,0.863004,0.044716
qam16,fixed_phase,4096,clean,0.0,0.0,0.905991,0.0
qam16,fixed_phase,4096,hardware_noise,0.05,1.0,0.86598,0.040011
qam16,fixed_phase,8192,clean,0.0,0.0,0.909273,0.0
qam16,fixed_phase,8192,hardware_noise,0.05,1.0,0.870191,0.039083
qam16,fixed_amplitude,42,clean,0.0,0.0,0.903358,0.0
qam16,fixed_amplitude,42,hardware_noise,0.05,1.0,0.860575,0.042783
qam16,fixed_amplitude,123,clean,0.0,0.0,0.905505,0.0
qam16,fixed_amplitude,123,hardware_noise,0.05,1.0,0.862046,0.04346
qam16,fixed_amplitude,256,clean,0.0,0.0,0.905396,0.0
qam16,fixed_amplitude,256,hardware_noise,0.05,1.0,0.863024,0.042373
qam16,fixed_amplitude,512,clean,0.0,0.0,0.904769,0.0
qam16,fixed_amplitude,512,hardware_noise,0.05,1.0,0.859461,0.045308
qam16,fixed_amplitude,1024,clean,0.0,0.0,0.905238,0.0
qam16,fixed_amplitude,1024,hardware_noise,0.05,1.0,0.855258,0.04998
qam16,fixed_amplitude,2024,clean,0.0,0.0,0.901954,0.0
qam16,fixed_amplitude,2024,hardware_noise,0.05,1.0,0.859148,0.042806
qam16,fixed_amplitude,4096,clean,0.0,0.0,0.903607,0.0
qam16,fixed_amplitude,4096,hardware_noise,0.05,1.0,0.859362,0.044245
qam16,fixed_amplitude,8192,clean,0.0,0.0,0.903703,0.0
qam16,fixed_amplitude,8192,hardware_noise,0.05,1.0,0.859529,0.044175
qam16,random_unitary,42,clean,0.0,0.0,0.860558,0.0
qam16,random_unitary,42,hardware_noise,0.05,1.0,0.809026,0.051531
qam16,random_unitary,123,clean,0.0,0.0,0.857799,0.0
qam16,random_unitary,123,hardware_noise,0.05,1.0,0.804923,0.052877
qam16,random_unitary,256,clean,0.0,0.0,0.857555,0.0
qam16,random_unitary,256,hardware_noise,0.05,1.0,0.808423,0.049133
qam16,random_unitary,512,clean,0.0,0.0,0.858747,0.0
qam16,random_unitary,512,hardware_noise,0.05,1.0,0.80916,0.049587
qam16,random_unitary,1024,clean,0.0,0.0,0.858732,0.0
qam16,random_unitary,1024,hardware_noise,0.05,1.0,0.809364,0.049368
qam16,random_unitary,2024,clean,0.0,0.0,0.85968,0.0
qam16,random_unitary,2024,hardware_noise,0.05,1.0,0.808894,0.050786
qam16,random_unitary,4096,clean,0.0,0.0,0.855727,0.0
qam16,random_unitary,4096,hardware_noise,0.05,1.0,0.805914,0.049813
qam16,random_unitary,8192,clean,0.0,0.0,0.857961,0.0
qam16,random_unitary,8192,hardware_noise,0.05,1.0,0.807962,0.049999
qam16,mlp,42,clean,0.0,0.0,0.939754,0.0
qam16,mlp,42,hardware_noise,0.05,1.0,0.901217,0.038537
qam16,mlp,123,clean,0.0,0.0,0.935823,0.0
qam16,mlp,123,hardware_noise,0.05,1.0,0.895435,0.040388
qam16,mlp,256,clean,0.0,0.0,0.940342,0.0
qam16,mlp,256,hardware_noise,0.05,1.0,0.899608,0.040734
qam16,mlp,512,clean,0.0,0.0,0.940286,0.0
qam16,mlp,512,hardware_noise,0.05,1.0,0.899612,0.040674
qam16,mlp,1024,clean,0.0,0.0,0.94016,0.0
qam16,mlp,1024,hardware_noise,0.05,1.0,0.902814,0.037346
qam16,mlp,2024,clean,0.0,0.0,0.940441,0.0
qam16,mlp,2024,hardware_noise,0.05,1.0,0.900509,0.039931
qam16,mlp,4096,clean,0.0,0.0,0.940576,0.0
qam16,mlp,4096,hardware_noise,0.05,1.0,0.899083,0.041493
qam16,mlp,8192,clean,0.0,0.0,0.942169,0.0
qam16,mlp,8192,hardware_noise,0.05,1.0,0.901236,0.040933
qam16,cnn,42,clean,0.0,0.0,0.960146,0.0
qam16,cnn,42,hardware_noise,0.05,1.0,0.921688,0.038458
qam16,cnn,123,clean,0.0,0.0,0.959144,0.0
qam16,cnn,123,hardware_noise,0.05,1.0,0.921161,0.037983
qam16,cnn,256,clean,0.0,0.0,0.960421,0.0
qam16,cnn,256,hardware_noise,0.05,1.0,0.921679,0.038742
qam16,cnn,512,clean,0.0,0.0,0.960053,0.0
qam16,cnn,512,hardware_noise,0.05,1.0,0.921868,0.038186
qam16,cnn,1024,clean,0.0,0.0,0.958262,0.0
qam16,cnn,1024,hardware_noise,0.05,1.0,0.922218,0.036044
qam16,cnn,2024,clean,0.0,0.0,0.960932,0.0
qam16,cnn,2024,hardware_noise,0.05,1.0,0.921308,0.039623
qam16,cnn,4096,clean,0.0,0.0,0.960303,0.0
qam16,cnn,4096,hardware_noise,0.05,1.0,0.920696,0.039607
qam16,cnn,8192,clean,0.0,0.0,0.958132,0.0
qam16,cnn,8192,hardware_noise,0.05,1.0,0.9161,0.042032
